borough,lat,lon,laeq,la50,measure_count,first_measure,last_measure
Barking and Dagenham,51.527432,0.109009,56.83,56.82,50,2018-02-13,2018-02-13
Barking and Dagenham,51.527558,0.109126,57.19,56.95,61,2018-02-13,2018-02-13
Barking and Dagenham,51.527684,0.109243,58.45,57.06,24,2018-02-13,2018-02-13
Barking and Dagenham,51.52781,0.109359,55.62,55.62,1,2018-02-13,2018-02-13
Barking and Dagenham,51.527558,0.109359,57.52,57.43,36,2018-02-13,2018-02-13
Barking and Dagenham,51.553957,0.134332,68.25,68.25,5,2018-09-27,2018-09-27
Barking and Dagenham,51.553832,0.134449,63.92,63.92,1,2018-09-27,2018-09-27
Barking and Dagenham,51.553957,0.134566,68.98,68.79,15,2018-09-27,2018-09-27
Barking and Dagenham,51.539125,0.122896,45.34,45.34,2,2020-06-03,2020-06-03
Barking and Dagenham,51.545159,0.154637,50.23,47.9,4,2025-01-30,2025-01-30
Barking and Dagenham,51.544405,0.163039,65.65,53.52,101,2024-09-02,2024-09-02
Bexley,51.501395,0.121029,78.42,78.42,1,2025-02-14,2025-02-14
Bexley,51.501395,0.121496,78.79,78.79,1,2025-02-14,2025-02-14
Bexley,51.501521,0.121612,79.24,79.24,1,2025-02-14,2025-02-14
Bexley,51.501647,0.121963,76.86,76.86,1,2025-02-14,2025-02-14
Bexley,51.501773,0.122313,77.67,77.67,1,2025-02-14,2025-02-14
Bexley,51.501898,0.122663,77.84,77.84,1,2025-02-14,2025-02-14
Bexley,51.502024,0.123013,77.51,77.51,1,2025-02-14,2025-02-14
Bexley,51.502024,0.123246,76.98,76.98,1,2025-02-14,2025-02-14
Bexley,51.50215,0.123596,77.22,77.22,1,2025-02-14,2025-02-14
Bexley,51.502276,0.123946,76.83,76.83,1,2025-02-14,2025-02-14
Bexley,51.502402,0.124296,77.08,77.08,1,2025-02-14,2025-02-14
Bexley,51.502528,0.124646,77.55,77.55,1,2025-02-14,2025-02-14
Bexley,51.502528,0.125113,78.02,78.02,1,2025-02-14,2025-02-14
Bexley,51.502653,0.125463,77.84,77.84,1,2025-02-14,2025-02-14
Bexley,51.502779,0.12558,77.11,77.11,1,2025-02-14,2025-02-14
Bexley,51.502905,0.12593,76.68,76.68,1,2025-02-14,2025-02-14
Bexley,51.503031,0.12628,76.9,76.9,1,2025-02-14,2025-02-14
Bexley,51.503157,0.12663,79.26,79.26,1,2025-02-14,2025-02-14
Bexley,51.503282,0.12698,79.25,79.25,1,2025-02-14,2025-02-14
Bexley,51.503408,0.127097,78.77,78.77,1,2025-02-14,2025-02-14
Bexley,51.503534,0.127447,78.8,78.8,1,2025-02-14,2025-02-14
Bexley,51.503534,0.127681,78.4,78.4,1,2025-02-14,2025-02-14
Bexley,51.50366,0.128031,77.23,77.23,1,2025-02-14,2025-02-14
Bexley,51.50366,0.128264,76.27,76.27,1,2025-02-14,2025-02-14
Bexley,51.503786,0.128614,75.64,75.64,1,2025-02-14,2025-02-14
Bexley,51.503786,0.128847,78.56,78.56,1,2025-02-14,2025-02-14
Bexley,51.503911,0.129198,79.48,79.48,1,2025-02-14,2025-02-14
Bexley,51.503911,0.129431,78.51,78.51,1,2025-02-14,2025-02-14
Bexley,51.504037,0.129781,77.56,77.56,1,2025-02-14,2025-02-14
Bexley,51.504037,0.130014,78.65,78.65,1,2025-02-14,2025-02-14
Bexley,51.504037,0.130248,77.31,77.31,1,2025-02-14,2025-02-14
Bexley,51.504037,0.130715,76.5,76.5,1,2025-02-14,2025-02-14
Bexley,51.504037,0.130948,75.55,75.55,1,2025-02-14,2025-02-14
